Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,510.265,286570,26199.1,0.994213
0.15,498.394,261236,12840,0.991863
0.2,490.283,248014,7636.28,0.989537
0.25,473.507,228336,4127.03,0.988136
0.3,485.735,239115,3176.51,0.986119
0.35,482.878,234313,1142.21,0.984695
0.4,486.603,237148,365.982,0.983196
0.45,491.872,242022,83.9185,0.981446
0.5,500,250000,0,0.980339
0.55,509.061,259220,76.9811,0.979131
0.6,521.708,272338,158.681,0.977984
0.65,533.492,284945,331.754,0.977181
0.7,549.498,302456,508.203,0.975803
0.75,555.635,309482,751.36,0.974421
0.8,578.518,335438,755.537,0.973696
0.85,592.05,351215,692.482,0.972982
