Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,4.20838,17.7147,0.00423701,1
0.15,5.87977,34.574,0.00225847,1
0.2,7.18006,51.557,0.00378854,1
0.25,8.2709,68.4104,0.00262133,1
0.3,9.48265,89.9287,0.00795371,1
0.35,11.1591,124.526,0.000864036,1
0.4,12.1304,147.155,0.00823556,1
0.45,14.2318,202.547,0.00382362,1
0.5,14.0466,197.374,0.0661946,1
0.55,13.2758,176.37,0.12275,1
0.6,19.0749,363.861,0.00815388,1
0.65,17.7806,316.205,0.0563702,1
0.7,20.9694,439.854,0.139469,1
0.75,15.2193,232.885,1.25764,1
0.8,23.106,534.004,0.114392,1
0.85,21.8436,477.521,0.378655,1
